,ro,🈤無讀音取o
见,rja,Jiàn -> j
言,ra,Yán -> a 🈤不取聲母
辰,rce,Ĉén -> Ce
马,rma,Mǎ
也,se,Yě -> e 🈤不取聲母
乜,sme,Miē -> Me
牛,snu,Niú -> Nu
,ska,Kuà -> Ka
,ska,
士,si,Ŝì -> i 🈤不取聲母
土,su,Tǔ -> u 🈤不取聲母
,se,Ŝēŋ ->  🈤不取聲母
耂,sla,Lǎo -> La
,svu,Ẑú -> Vu 🈤Z和Ẑ作V
,so,🈤無讀音取o ㊕不做末根
尤,syo,Yóu -> Yo
尢,so,Yóu -> o 🈤不取聲母 🈑尤本字 🈕Wāŋ
九,sju,Jiǔ -> Ju
山,ssa,Ŝān -> Sa
廴,si,Yín -> i 🈤不取聲母
豕,ssi,Ŝǐ
,ssi,㊟同豕歸併 🈕Gēng
魚,syu,Yú
鳥,sna,Niǎo -> Na
,sna,
烏,swu,Wū
,swu,
丶,tu,Ẑǔ -> u 🈤基本筆畫不取聲母 ㊟俗稱點
乀,tu,Fú -> u 🈤基本筆畫不取聲母 ㊟俗稱捺
欠,tka,Qiān -> Ka 🈤Q作K
匕,ti,i 🈤不取聲母
,ti,㊟同匕歸併 🈑化本字 🈕Huà
,to,Ŝǒu -> o 🈤不取聲母 ㊟俗稱提手旁
用,to,Yòŋ -> o 🈤不取聲母
,vo,🈤無讀音取o
,vo,
亦,vyi,Yì
,vyi,
刀,va,Dāo -> a 🈤不取聲母
,vda,Dāo -> Da ㊟俗稱立刀旁
巾,vji,Jīn -> Ji
且,vke,Qiě -> Ke 🈤Q作K
,vo,🈤無讀音取o
米,vmi,Mǐ
水,vi,Ŝuǐ -> i 🈤不取聲母
氺,vi,
,vi,Ŝuǐ -> i 🈤不取聲母 ㊟俗稱三點水
,vo,🈤無讀音取o
甶,vfu,Fǔ
,vfu,㊟同甶歸併
鬼,vgi,Guǐ -> Gi
,vgi,㊟同鬼歸併
犬,wa,Quǎn -> a 🈤不取聲母
,wka,Quǎn -> Ka 🈤Q作K ㊟俗稱反犬旁
乃,wna,Nǎi -> Na
乙,wi,Yǐ -> i 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼
乚,wi,Yí -> i 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼
亅,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wi,
,wo,🈤無讀音取o ㊟牛字根的上方
卯,wma,Mǎo -> Ma
,wma,Mǎo -> Ma
,wo,🈤無讀音取o
,wo,
,wo,
,wo,
片,wpa,Piàn -> Pa
爿,wa,Pán -> a 🈤不取聲母 🈕Qiáng
禺,wyu,Yǔ
禾,whe,Hé
夭,wya,yāo -> Ya
,wa,Yán -> a 🈤不取聲母
辶,wo,Ĉuò -> o 🈤不取聲母 ㊟俗稱走之底
⻍,wo,
革,wge,Gé
,wo,🈤無讀音取o
习,xi,Xí -> i 🈤不取聲母
匚,xfa,Fāŋ -> Fa
,xfa,
木,xu,Mù -> u 🈤不取聲母
朩,xu,
甲,xja,Jiā -> Ja
里,xli,Lǐ
大,yda,Dà
夫,yfu,Fū
,ydi,Dí
王,ya,Wáŋ -> a 🈤不取聲母
瓦,ywa,Wǎ
糸,yi,Sī -> i 🈤不取聲母 🈕Mì
,yi,
非,yfe,Fēi -> Fe
